Accession,Main gene name,Main protein name,Other gene names,Other protein names
Q08945,SSRP1,SSRP1_HUMAN,FACT80,FACT complex subunit SSRP1; Facilitates chromatin transcription complex 80 kDa subunit; Chromatin-specific transcription elongation factor 80 kDa subunit; Recombination signal sequence recognition protein 1; Facilitates chromatin transcription complex subunit SSRP1; Structure-specific recognition protein 1; T160
Q03014,HHEX,HHEX_HUMAN,HEX; PRH; PRHX,Hematopoietically-expressed homeobox protein HHEX; Homeobox protein PRH
Q14005,IL16,IL16_HUMAN,,Pro-interleukin-16
Q9UER7,DAXX,DAXX_HUMAN,BING2; DAP6,Death domain-associated protein 6; Daxx; ETS1-associated protein 1; Fas death domain-associated protein
Q14940,SLC9A5,SL9A5_HUMAN,NHE5,Sodium/hydrogen exchanger 5; Solute carrier family 9 member 5; Na(+)/H(+) exchanger 5
P49810,PSEN2,PSN2_HUMAN,AD4; PS2; STM2; PSNL2,Presenilin-2; AD3LP; AD5; E5-1; STM-2
O15266,SHOX,SHOX_HUMAN,PHOG,Short stature homeobox protein; Pseudoautosomal homeobox-containing osteogenic protein; Short stature homeobox-containing protein
Q9UHH9,IP6K2,IP6K2_HUMAN,IHPK2; TCCCIA00113,Inositol hexakisphosphate kinase 2; P(i)-uptake stimulator
P25963,NFKBIA,IKBA_HUMAN,IKBA; MAD3; NFKBI,NF-kappa-B inhibitor alpha; Major histocompatibility complex enhancer-binding protein MAD3; I-kappa-B-alpha
P32121,ARRB2,ARRB2_HUMAN,ARB2; ARR2,Beta-arrestin-2; Arrestin beta-2; Non-visual arrestin-3
P11387,TOP1,TOP1_HUMAN,,DNA topoisomerase 1; DNA topoisomerase I
Q96SB4,SRPK1,SRPK1_HUMAN,,SRSF protein kinase 1; Serine/arginine-rich protein-specific kinase 1; SFRS protein kinase 1
O75925,PIAS1,PIAS1_HUMAN,DDXBP1,E3 SUMO-protein ligase PIAS1; DEAD/H box-binding protein 1; E3 SUMO-protein transferase PIAS1; Gu-binding protein; Protein inhibitor of activated STAT protein 1; RNA helicase II-binding protein
Q9UKX2,MYH2,MYH2_HUMAN,MYHSA2,"Myosin-2; Myosin heavy chain, skeletal muscle, adult 2; Myosin heavy chain IIa; Myosin heavy chain 2a; Myosin heavy chain 2"
Q96EB6,SIRT1,SIR1_HUMAN,SIR2L1,NAD-dependent protein deacetylase sirtuin-1; NAD-dependent protein deacylase sirtuin-1; Regulatory protein SIR2 homolog 1; SIR2-like protein 1
P21673,SAT1,SAT1_HUMAN,SAT,Diamine acetyltransferase 1; Polyamine N-acetyltransferase 1; Putrescine acetyltransferase; Spermidine/spermine N(1)-acetyltransferase 1
P11388,TOP2A,TOP2A_HUMAN,TOP2,"DNA topoisomerase 2-alpha; DNA topoisomerase II, alpha isozyme"
P08833,IGFBP1,IBP1_HUMAN,IBP1,Insulin-like growth factor-binding protein 1; Placental protein 12
P54252,ATXN3,ATX3_HUMAN,ATX3; MJD; MJD1; SCA3,Ataxin-3; Spinocerebellar ataxia type 3 protein; Machado-Joseph disease protein 1
P17936,IGFBP3,IBP3_HUMAN,IBP3,Insulin-like growth factor-binding protein 3
Q9UQE7,SMC3,SMC3_HUMAN,BAM; BMH; CSPG6; SMC3L1,Structural maintenance of chromosomes protein 3; Basement membrane-associated chondroitin proteoglycan; Chromosome-associated polypeptide; Chondroitin sulfate proteoglycan 6
P05455,SSB,LA_HUMAN,,Lupus La protein; La ribonucleoprotein; Sjoegren syndrome type B antigen; La autoantigen
P10242,MYB,MYB_HUMAN,,Transcriptional activator Myb; Proto-oncogene c-Myb
Q13323,BIK,BIK_HUMAN,NBK,Bcl-2-interacting killer; Apoptosis inducer NBK; BIP1; BP4
P67870,CSNK2B,CSK2B_HUMAN,CK2N; G5A,Casein kinase II subunit beta; Phosvitin; Protein G5a
P16220,CREB1,CREB1_HUMAN,,Cyclic AMP-responsive element-binding protein 1
Q9Y5B0,CTDP1,CTDP1_HUMAN,FCP1,RNA polymerase II subunit A C-terminal domain phosphatase; TFIIF-associating CTD phosphatase
P35579,MYH9,MYH9_HUMAN,,"Myosin-9; Cellular myosin heavy chain, type A; Non-muscle myosin heavy chain IIa; Non-muscle myosin heavy chain A; Myosin heavy chain, non-muscle IIa; Myosin heavy chain 9"
Q9Y4R8,TELO2,TELO2_HUMAN,KIAA0683,Telomere length regulation protein TEL2 homolog; Protein clk-2 homolog
Q9NYV6,RRN3,RRN3_HUMAN,TIFIA,RNA polymerase I-specific transcription initiation factor RRN3; Transcription initiation factor IA
P54252-1,ATXN3,ATX3-1_HUMAN,ATX3; MJD1; MJD; SCA3,Isoform 1 of Ataxin-3; Machado-Joseph disease protein 1; Spinocerebellar ataxia type 3 protein
Q96IZ0,PAWR,PAWR_HUMAN,PAR4,PRKC apoptosis WT1 regulator protein; Prostate apoptosis response 4 protein
Q00987,MDM2,MDM2_HUMAN,,E3 ubiquitin-protein ligase Mdm2; Double minute 2 protein; Oncoprotein Mdm2; RING-type E3 ubiquitin transferase Mdm2; p53-binding protein Mdm2
Q9Y365,STARD10,STA10_HUMAN,SDCCAG28; CGI-52,START domain-containing protein 10; Antigen NY-CO-28; PCTP-like protein; Serologically defined colon cancer antigen 28; StAR-related lipid transfer protein 10
P54274,TERF1,TERF1_HUMAN,PIN2; TRBF1; TRF; TRF1,Telomeric repeat-binding factor 1; TTAGGG repeat-binding factor 1; NIMA-interacting protein 2; Telomeric protein Pin2/TRF1
O15259,NPHP1,NPHP1_HUMAN,NPH1,Nephrocystin-1; Juvenile nephronophthisis 1 protein
P08238,HSP90AB1,HS90B_HUMAN,HSPCB; HSP90B; HSPC2,Heat shock protein HSP 90-beta; Heat shock 84 kDa
O14950,MYL12B,ML12B_HUMAN,MRLC2; MYLC2B,"Myosin regulatory light chain 12B; MLC-2A; Myosin regulatory light chain 20 kDa; Myosin regulatory light chain 2-B, smooth muscle isoform; Myosin regulatory light chain MRLC2; SHUJUN-1"
P12821,ACE,ACE_HUMAN,DCP; DCP1,Angiotensin-converting enzyme; Kininase II; Dipeptidyl carboxypeptidase I
P49736,MCM2,MCM2_HUMAN,BM28; CCNL1; CDCL1; KIAA0030,DNA replication licensing factor MCM2; Nuclear protein BM28; Minichromosome maintenance protein 2 homolog
P49427,CDC34,UB2R1_HUMAN,UBCH3; UBE2R1,Ubiquitin-conjugating enzyme E2 R1; (E3-independent) E2 ubiquitin-conjugating enzyme R1; E2 ubiquitin-conjugating enzyme R1; Ubiquitin-conjugating enzyme E2-32 kDa complementing; Ubiquitin-conjugating enzyme E2-CDC34; Ubiquitin-protein ligase R1
P50895,BCAM,BCAM_HUMAN,LU; MSK19,Basal cell adhesion molecule; Lutheran blood group glycoprotein; Lutheran antigen; F8/G253 antigen; B-CAM cell surface glycoprotein; Auberger B antigen
Q8NE71,ABCF1,ABCF1_HUMAN,ABC50,ATP-binding cassette sub-family F member 1; ATP-binding cassette 50; TNF-alpha-stimulated ABC protein
P30203,CD6,CD6_HUMAN,,T-cell differentiation antigen CD6; T12; TP120
P07900,HSP90AA1,HS90A_HUMAN,HSP90A; HSPC1; HSPCA,Heat shock protein HSP 90-alpha; Lipopolysaccharide-associated protein 2; Heat shock 86 kDa; Renal carcinoma antigen NY-REN-38
O75822,EIF3J,EIF3J_HUMAN,EIF3S1; PRO0391,Eukaryotic translation initiation factor 3 subunit J; Eukaryotic translation initiation factor 3 subunit 1; eIF-3-alpha; eIF3 p35
P38398,BRCA1,BRCA1_HUMAN,RNF53,Breast cancer type 1 susceptibility protein; RING finger protein 53; RING-type E3 ubiquitin transferase BRCA1
P51946,CCNH,CCNH_HUMAN,,Cyclin-H; p34; MO15-associated protein; p37
Q92796-2,DLG3,DLG3-2_HUMAN,KIAA1232,Isoform 2 of Disks large homolog 3; Neuroendocrine-DLG; Synapse-associated protein 102; XLMR
Q13509,TUBB3,TBB3_HUMAN,TUBB4,Tubulin beta-3 chain; Tubulin beta-III; Tubulin beta-4 chain
Q04206,RELA,TF65_HUMAN,NFKB3,Transcription factor p65; Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3; Nuclear factor NF-kappa-B p65 subunit
O95905,ECD,ECD_HUMAN,,Protein ecdysoneless homolog; Human suppressor of GCR two
P39687,ANP32A,AN32A_HUMAN,C15orf1; LANP; MAPM; PHAP1,Acidic leucine-rich nuclear phosphoprotein 32 family member A; Acidic nuclear phosphoprotein pp32; Leucine-rich acidic nuclear protein; Mapmodulin; Potent heat-stable protein phosphatase 2A inhibitor I1PP2A; Putative HLA-DR-associated protein I
P46531,NOTCH1,NOTC1_HUMAN,TAN1,Neurogenic locus notch homolog protein 1; Translocation-associated notch protein TAN-1
Q8TAE8,GADD45GIP1,G45IP_HUMAN,MRPL59; PLINP1; PRG6,"Growth arrest and DNA damage-inducible proteins-interacting protein 1; 39S ribosomal protein L59, mitochondrial; CKII beta-associating protein; CR6-interacting factor 1; Mitochondrial large ribosomal subunit protein mL64; Papillomavirus L2-interacting nuclear protein 1; p53-responsive gene 6 protein"
P11717,IGF2R,MPRI_HUMAN,MPRI,Cation-independent mannose-6-phosphate receptor; Insulin-like growth factor 2 receptor; 300 kDa mannose 6-phosphate receptor; M6P/IGF2 receptor; Insulin-like growth factor II receptor
P19447,ERCC3,ERCC3_HUMAN,XPB; XPBC,General transcription and DNA repair factor IIH helicase subunit XPB; Basic transcription factor 2 89 kDa subunit; DNA excision repair protein ERCC-3; DNA repair protein complementing XP-B cells; TFIIH basal transcription factor complex 89 kDa subunit; Xeroderma pigmentosum group B-complementing protein
Q92915,FGF14,FGF14_HUMAN,FHF4,Fibroblast growth factor 14; Fibroblast growth factor homologous factor 4
Q16666,IFI16,IF16_HUMAN,IFNGIP1,Gamma-interferon-inducible protein 16; Interferon-inducible myeloid differentiation transcriptional activator
Q15084,PDIA6,PDIA6_HUMAN,ERP5; P5; TXNDC7,Protein disulfide-isomerase A6; Endoplasmic reticulum protein 5; Protein disulfide isomerase P5; Thioredoxin domain-containing protein 7
Q9UJU2,LEF1,LEF1_HUMAN,,Lymphoid enhancer-binding factor 1; T cell-specific transcription factor 1-alpha
P30622,CLIP1,CLIP1_HUMAN,CYLN1; RSN,CAP-Gly domain-containing linker protein 1; Cytoplasmic linker protein 1; Cytoplasmic linker protein 170 alpha-2; Reed-Sternberg intermediate filament-associated protein; Restin
P20042,EIF2S2,IF2B_HUMAN,EIF2B,Eukaryotic translation initiation factor 2 subunit 2; Eukaryotic translation initiation factor 2 subunit beta
Q712K3,UBE2R2,UB2R2_HUMAN,CDC34B; UBC3B,Ubiquitin-conjugating enzyme E2 R2; E2 ubiquitin-conjugating enzyme R2; Ubiquitin carrier protein R2; Ubiquitin-conjugating enzyme E2-CDC34B; Ubiquitin-protein ligase R2
P29692,EEF1D,EF1D_HUMAN,EF1D,Elongation factor 1-delta; Antigen NY-CO-4
P49418,AMPH,AMPH_HUMAN,AMPH1,Amphiphysin
P33527,ABCC1,MRP1_HUMAN,MRP; MRP1,Multidrug resistance-associated protein 1; ATP-binding cassette sub-family C member 1; Glutathione-S-conjugate-translocating ATPase ABCC1; Leukotriene C(4) transporter
P13569,CFTR,CFTR_HUMAN,ABCC7,Cystic fibrosis transmembrane conductance regulator; ATP-binding cassette sub-family C member 7; Channel conductance-controlling ATPase; cAMP-dependent chloride channel
O95477,ABCA1,ABCA1_HUMAN,ABC1; CERP,Phospholipid-transporting ATPase ABCA1; ATP-binding cassette sub-family A member 1; ATP-binding cassette transporter 1; Cholesterol efflux regulatory protein
P09958,FURIN,FURIN_HUMAN,FUR; PACE; PCSK3,Furin; Dibasic-processing enzyme; Paired basic amino acid residue-cleaving enzyme
P41208,CETN2,CETN2_HUMAN,CALT; CEN2,Centrin-2; Caltractin isoform 1
P28482,MAPK1,MK01_HUMAN,ERK2; PRKM1; PRKM2,Mitogen-activated protein kinase 1; Mitogen-activated protein kinase 2; MAP kinase isoform p42; Extracellular signal-regulated kinase 2; ERT1
P01106,MYC,MYC_HUMAN,BHLHE39,Myc proto-oncogene protein; Transcription factor p64; Proto-oncogene c-Myc; Class E basic helix-loop-helix protein 39
P22736,NR4A1,NR4A1_HUMAN,GFRP1; HMR; NAK1,Nuclear receptor subfamily 4 group A member 1; Testicular receptor 3; ST-59; Orphan nuclear receptor TR3; Orphan nuclear receptor HMR; Nuclear hormone receptor NUR/77; Early response protein NAK1
Q9UBF6,RNF7,RBX2_HUMAN,RBX2; ROC2; SAG,RING-box protein 2; CKII beta-binding protein 1; RING finger protein 7; Regulator of cullins 2; Sensitive to apoptosis gene protein
Q96RL1,UIMC1,UIMC1_HUMAN,RAP80; RXRIP110,BRCA1-A complex subunit RAP80; Receptor-associated protein 80; Retinoid X receptor-interacting protein 110; Ubiquitin interaction motif-containing protein 1
Q01831,XPC,XPC_HUMAN,XPCC,DNA repair protein complementing XP-C cells; Xeroderma pigmentosum group C-complementing protein; p125
P49716,CEBPD,CEBPD_HUMAN,,CCAAT/enhancer-binding protein delta; Nuclear factor NF-IL6-beta
P10646,TFPI,TFPI1_HUMAN,LACI; TFPI1,Tissue factor pathway inhibitor; Extrinsic pathway inhibitor; Lipoprotein-associated coagulation inhibitor
Q15672,TWIST1,TWST1_HUMAN,BHLHA38; TWIST,Twist-related protein 1; Class A basic helix-loop-helix protein 38; H-twist
Q16623,STX1A,STX1A_HUMAN,STX1,Syntaxin-1A; Neuron-specific antigen HPC-1
Q99638,RAD9A,RAD9A_HUMAN,,Cell cycle checkpoint control protein RAD9A; DNA repair exonuclease rad9 homolog A
Q96HZ4,HES6,HES6_HUMAN,BHLHB41,Transcription cofactor HES-6; C-HAIRY1; Class B basic helix-loop-helix protein 41; Hairy and enhancer of split 6
Q9ULV4,CORO1C,COR1C_HUMAN,CRN2; CRNN4,Coronin-1C; Coronin-3; hCRNN4
Q92688,ANP32B,AN32B_HUMAN,APRIL; PHAPI2,Acidic leucine-rich nuclear phosphoprotein 32 family member B; Acidic protein rich in leucines; Putative HLA-DR-associated protein I-2; Silver-stainable protein SSP29
P40337,VHL,VHL_HUMAN,,von Hippel-Lindau disease tumor suppressor; Protein G7; pVHL
P48426,PIP4K2A,PI42A_HUMAN,PIP5K2; PIP5K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha; PtdIns(5)P-4-kinase isoform 2-alpha; PtdIns(4)P-5-kinase C isoform; PtdIns(4)P-5-kinase B isoform; Phosphatidylinositol 5-phosphate 4-kinase type II alpha; PIP5KIII; Diphosphoinositide kinase 2-alpha; 1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha
P10243,MYBL1,MYBA_HUMAN,AMYB,Myb-related protein A; Myb-like protein 1
Q06265,EXOSC9,EXOS9_HUMAN,PMSCL1,Exosome complex component RRP45; Autoantigen PM/Scl 1; Exosome component 9; P75 polymyositis-scleroderma overlap syndrome-associated autoantigen; Polymyositis/scleroderma autoantigen 1; Polymyositis/scleroderma autoantigen 75 kDa
Q92784-2,DPF3,DPF3-2_HUMAN,BAF45C; CERD4,Isoform 2 of Zinc finger protein DPF3; BRG1-associated factor 45C; Zinc finger protein cer-d4
P56270,MAZ,MAZ_HUMAN,ZNF801,Myc-associated zinc finger protein; Zinc finger protein 801; ZF87; Transcription factor Zif87; Serum amyloid A-activating factor-1; Purine-binding transcription factor; Pur-1
Q9BPX3,NCAPG,CND3_HUMAN,CAPG; NYMEL3,Condensin complex subunit 3; Condensin subunit CAP-G; Chromosome-associated protein G; Melanoma antigen NY-MEL-3; XCAP-G homolog; Non-SMC condensin I complex subunit G
Q06609,RAD51,RAD51_HUMAN,RAD51A; RECA,DNA repair protein RAD51 homolog 1; RAD51 homolog A
P49321-2,NASP,NASP-2_HUMAN,,Isoform 2 of Nuclear autoantigenic sperm protein
P23760,PAX3,PAX3_HUMAN,HUP2,Paired box protein Pax-3; HuP2
P20810,CAST,ICAL_HUMAN,,Calpastatin; Calpain inhibitor; Sperm BS-17 component
P14317,HCLS1,HCLS1_HUMAN,HS1,Hematopoietic lineage cell-specific protein; LckBP1; p75; Hematopoietic cell-specific LYN substrate 1
Q15653,NFKBIB,IKBB_HUMAN,IKBB; TRIP9,NF-kappa-B inhibitor beta; Thyroid receptor-interacting protein 9; I-kappa-B-beta
Q13829,TNFAIP1,BACD2_HUMAN,BACURD2; EDP1,"BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2; Protein B12; BTB/POZ domain-containing protein TNFAIP1; Tumor necrosis factor, alpha-induced protein 1, endothelial"
Q9UJY5,GGA1,GGA1_HUMAN,,"ADP-ribosylation factor-binding protein GGA1; Gamma-adaptin-related protein 1; Golgi-localized, gamma ear-containing, ARF-binding protein 1"
Q13426,XRCC4,XRCC4_HUMAN,,DNA repair protein XRCC4; X-ray repair cross-complementing protein 4
O15379,HDAC3,HDAC3_HUMAN,,Histone deacetylase 3; SMAP45; RPD3-2
Q16543,CDC37,CDC37_HUMAN,CDC37A,Hsp90 co-chaperone Cdc37; Hsp90 chaperone protein kinase-targeting subunit; p50Cdc37
Q15019,SEPTIN2,SEPT2_HUMAN,KIAA0158; NEDD5; SEPT2; DIFF6,Septin-2; Neural precursor cell expressed developmentally down-regulated protein 5
P30305,CDC25B,MPIP2_HUMAN,CDC25HU2,M-phase inducer phosphatase 2; Dual specificity phosphatase Cdc25B
Q9UMD9,COL17A1,COHA1_HUMAN,BP180; BPAG2,Collagen alpha-1(XVII) chain; 180 kDa bullous pemphigoid antigen 2; Bullous pemphigoid antigen 2
O60341,KDM1A,KDM1A_HUMAN,KDM1; KIAA0601; AOF2; LSD1,Lysine-specific histone demethylase 1A; BRAF35-HDAC complex protein BHC110; Flavin-containing amine oxidase domain-containing protein 2
P61244,MAX,MAX_HUMAN,BHLHD4,Protein max; Class D basic helix-loop-helix protein 4; Myc-associated factor X
Q15596,NCOA2,NCOA2_HUMAN,BHLHE75; SRC2; TIF2,Nuclear receptor coactivator 2; Transcriptional intermediary factor 2; Class E basic helix-loop-helix protein 75
P29590,PML,PML_HUMAN,MYL; PP8675; RNF71; TRIM19,Protein PML; Promyelocytic leukemia protein; RING finger protein 71; Tripartite motif-containing protein 19
P78344,EIF4G2,IF4G2_HUMAN,DAP5; OK/SW-cl.75,Eukaryotic translation initiation factor 4 gamma 2; p97; Death-associated protein 5
Q92769,HDAC2,HDAC2_HUMAN,,Histone deacetylase 2
Q14493,SLBP,SLBP_HUMAN,HBP,Histone RNA hairpin-binding protein; Histone stem-loop-binding protein
O75376,NCOR1,NCOR1_HUMAN,KIAA1047,Nuclear receptor corepressor 1
P42575,CASP2,CASP2_HUMAN,ICH1; NEDD2,Caspase-2; Protease ICH-1; Neural precursor cell expressed developmentally down-regulated protein 2
O95863,SNAI1,SNAI1_HUMAN,SNAH,Zinc finger protein SNAI1; Protein snail homolog 1
P13349,MYF5,MYF5_HUMAN,BHLHC2,Myogenic factor 5; Class C basic helix-loop-helix protein 2
Q96NY9,MUS81,MUS81_HUMAN,,Crossover junction endonuclease MUS81
P36955,SERPINF1,PEDF_HUMAN,PEDF; PIG35,Pigment epithelium-derived factor; EPC-1; Serpin F1; Cell proliferation-inducing gene 35 protein
Q9HCU9,BRMS1,BRMS1_HUMAN,,Breast cancer metastasis-suppressor 1
P04198,MYCN,MYCN_HUMAN,BHLHE37; NMYC,N-myc proto-oncogene protein; Class E basic helix-loop-helix protein 37
Q03112,MECOM,MECOM_HUMAN,EVI1; MDS1; PRDM3,Histone-lysine N-methyltransferase MECOM; Ecotropic virus integration site 1 protein homolog; MDS1 and EVI1 complex locus protein; Myelodysplasia syndrome 1 protein; Myelodysplasia syndrome-associated protein 1
Q9BRS2,RIOK1,RIOK1_HUMAN,RIO1,Serine/threonine-protein kinase RIO1; RIO kinase 1
Q9Y237,PIN4,PIN4_HUMAN,,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4; Parvulin-14; Rotamase Pin4; Peptidyl-prolyl cis/trans isomerase EPVH; Peptidyl-prolyl cis-trans isomerase Pin4; Parvulin-17
Q96KQ7,EHMT2,EHMT2_HUMAN,NG36; KMT1C; G9A; C6orf30; BAT8,Histone-lysine N-methyltransferase EHMT2; Euchromatic histone-lysine N-methyltransferase 2; HLA-B-associated transcript 8; Histone H3-K9 methyltransferase 3; Lysine N-methyltransferase 1C; Protein G9a
Q13541,EIF4EBP1,4EBP1_HUMAN,,Eukaryotic translation initiation factor 4E-binding protein 1; Phosphorylated heat- and acid-stable protein regulated by insulin 1
P46060,RANGAP1,RAGP1_HUMAN,KIAA1835; SD,Ran GTPase-activating protein 1
P41002,CCNF,CCNF_HUMAN,FBX1; FBXO1,Cyclin-F; F-box only protein 1
P27540,ARNT,ARNT_HUMAN,BHLHE2,"Aryl hydrocarbon receptor nuclear translocator; Class E basic helix-loop-helix protein 2; Dioxin receptor, nuclear translocator; Hypoxia-inducible factor 1-beta"
P04818,TYMS,TYSY_HUMAN,TS; OK/SW-cl.29,Thymidylate synthase
O43395,PRPF3,PRPF3_HUMAN,HPRP3; PRP3,U4/U6 small nuclear ribonucleoprotein Prp3; Pre-mRNA-splicing factor 3; U4/U6 snRNP 90 kDa protein
O76061,STC2,STC2_HUMAN,,Stanniocalcin-2; Stanniocalcin-related protein
O60671,RAD1,RAD1_HUMAN,REC1,Cell cycle checkpoint protein RAD1; DNA repair exonuclease rad1 homolog; Rad1-like DNA damage checkpoint protein
P43629,KIR3DL1,KI3L1_HUMAN,CD158E; NKAT3; NKB1,Killer cell immunoglobulin-like receptor 3DL1; p70 natural killer cell receptor clones CL-2/CL-11; MHC class I NK cell receptor; Natural killer-associated transcript 3; CD158 antigen-like family member E; HLA-BW4-specific inhibitory NK cell receptor
P02671,FGA,FIBA_HUMAN,,Fibrinogen alpha chain
P06744,GPI,G6PI_HUMAN,,Glucose-6-phosphate isomerase; Autocrine motility factor; Neuroleukin; Phosphoglucose isomerase; Phosphohexose isomerase; Sperm antigen 36
P30793,GCH1,GCH1_HUMAN,DYT5; GCH,GTP cyclohydrolase 1; GTP cyclohydrolase I
Q9UBN7,HDAC6,HDAC6_HUMAN,JM21; KIAA0901,Histone deacetylase 6; Tubulin-lysine deacetylase HDAC6
Q01534,TSPY1,TSPY1_HUMAN,TSPY,Testis-specific Y-encoded protein 1; Cancer/testis antigen 78
Q13563,PKD2,PKD2_HUMAN,TRPP2,Polycystin-2; Autosomal dominant polycystic kidney disease type II protein; Polycystic kidney disease 2 protein; Polycystwin; R48321; Transient receptor potential cation channel subfamily P member 2
P30307,CDC25C,MPIP3_HUMAN,,M-phase inducer phosphatase 3; Dual specificity phosphatase Cdc25C
Q13547,HDAC1,HDAC1_HUMAN,RPD3L1,Histone deacetylase 1
Q13283,G3BP1,G3BP1_HUMAN,G3BP,Ras GTPase-activating protein-binding protein 1; ATP-dependent DNA helicase VIII; GAP SH3 domain-binding protein 1
Q15185,PTGES3,TEBP_HUMAN,P23; TEBP,Prostaglandin E synthase 3; Cytosolic prostaglandin E2 synthase; Hsp90 co-chaperone; Progesterone receptor complex p23; Telomerase-binding protein p23
P09651,HNRNPA1,ROA1_HUMAN,HNRPA1,Heterogeneous nuclear ribonucleoprotein A1; Helix-destabilizing protein; Single-strand RNA-binding protein; hnRNP core protein A1
P52907,CAPZA1,CAZA1_HUMAN,,F-actin-capping protein subunit alpha-1; CapZ alpha-1
P07910,HNRNPC,HNRPC_HUMAN,HNRPC,Heterogeneous nuclear ribonucleoproteins C1/C2
Q93009,USP7,UBP7_HUMAN,HAUSP,Ubiquitin carboxyl-terminal hydrolase 7; Deubiquitinating enzyme 7; Herpesvirus-associated ubiquitin-specific protease; Ubiquitin thioesterase 7; Ubiquitin-specific-processing protease 7
O43156,TTI1,TTI1_HUMAN,KIAA0406; SMG10,TELO2-interacting protein 1 homolog; Protein SMG10
Q01105-2,SET,SET-2_HUMAN,,Isoform 2 of Protein SET; HLA-DR-associated protein II; Inhibitor of granzyme A-activated DNase; PHAPII; Phosphatase 2A inhibitor I2PP2A; Template-activating factor I
P11473,VDR,VDR_HUMAN,NR1I1,"Vitamin D3 receptor; Nuclear receptor subfamily 1 group I member 1; 1,25-dihydroxyvitamin D3 receptor"
P30291,WEE1,WEE1_HUMAN,,Wee1-like protein kinase; Wee1A kinase
Q12798,CETN1,CETN1_HUMAN,CEN1; CETN,Centrin-1; Caltractin isoform 2
P68400,CSNK2A1,CSK21_HUMAN,CK2A1,Casein kinase II subunit alpha
